,warehouse_id,warehouse_name,city,province,warehouse_type,capacity_units
0,W00001,SupplyGuard Paarl Warehouse 1,Paarl,Western Cape,Distribution,79458
1,W00002,SupplyGuard Grahamstown Warehouse 2,Grahamstown,Eastern Cape,Cold Storage,74606
2,W00003,SupplyGuard Polokwane Warehouse 3,Polokwane,Limpopo,Cold Storage,106359
3,W00004,SupplyGuard Bloemfontein Warehouse 4,Bloemfontein,Free State,Regional,49522
4,W00005,SupplyGuard Rustenburg Warehouse 5,Rustenburg,North West,Fulfilment,240013
5,W00006,SupplyGuard Witbank Warehouse 6,Witbank,Mpumalanga,Regional,11370
6,W00007,SupplyGuard Gqeberha Warehouse 7,Gqeberha,Eastern Cape,Cross-Dock,30469
7,W00008,SupplyGuard Mbombela Warehouse 8,Mbombela,Mpumalanga,Distribution,79188
8,W00009,SupplyGuard Mbombela Warehouse 9,Mbombela,Mpumalanga,Distribution,137909
9,W00010,SupplyGuard Bloemfontein Warehouse 10,Bloemfontein,Free State,Distribution,240715
10,W00011,SupplyGuard Kroonstad Warehouse 11,Kroonstad,Free State,Fulfilment,225049
11,W00012,SupplyGuard Kuruman Warehouse 12,Kuruman,Northern Cape,Cold Storage,231363
12,W00013,SupplyGuard Kimberley Warehouse 13,Kimberley,Northern Cape,Cross-Dock,456731
13,W00014,SupplyGuard Mthatha Warehouse 14,Mthatha,Eastern Cape,Cross-Dock,27539
14,W00015,SupplyGuard Mahikeng Warehouse 15,Mahikeng,North West,Fulfilment,232052
15,W00016,SupplyGuard Richards Bay Warehouse 16,Richards Bay,KwaZulu-Natal,Cold Storage,320519
16,W00017,SupplyGuard Potchefstroom Warehouse 17,Potchefstroom,North West,Cold Storage,417720
17,W00018,SupplyGuard Nelspruit Warehouse 18,Nelspruit,Mpumalanga,Regional,181633
18,W00019,SupplyGuard Polokwane Warehouse 19,Polokwane,Limpopo,Cross-Dock,258591
19,W00020,SupplyGuard Umhlanga Warehouse 20,Umhlanga,KwaZulu-Natal,Distribution,126015
20,W00021,SupplyGuard Mbombela Warehouse 21,Mbombela,Mpumalanga,Cold Storage,128814
21,W00022,SupplyGuard Polokwane Warehouse 22,Polokwane,Limpopo,Distribution,467183
22,W00023,SupplyGuard Gqeberha Warehouse 23,Gqeberha,Eastern Cape,Cold Storage,321836
23,W00024,SupplyGuard Upington Warehouse 24,Upington,Northern Cape,Distribution,483191
24,W00025,SupplyGuard Potchefstroom Warehouse 25,Potchefstroom,North West,Regional,77289
25,W00026,SupplyGuard Upington Warehouse 26,Upington,Northern Cape,Fulfilment,484231
26,W00027,SupplyGuard Kuruman Warehouse 27,Kuruman,Northern Cape,Distribution,287556
27,W00028,SupplyGuard Pietermaritzburg Warehouse 28,Pietermaritzburg,KwaZulu-Natal,Regional,418715
28,W00029,SupplyGuard Gqeberha Warehouse 29,Gqeberha,Eastern Cape,Cold Storage,480695
29,W00030,SupplyGuard Rustenburg Warehouse 30,Rustenburg,North West,Distribution,131038
30,W00031,SupplyGuard George Warehouse 31,George,Western Cape,Fulfilment,380059
31,W00032,SupplyGuard Polokwane Warehouse 32,Polokwane,Limpopo,Distribution,190043
32,W00033,SupplyGuard Soweto Warehouse 33,Soweto,Gauteng,Fulfilment,310979
33,W00034,SupplyGuard Witbank Warehouse 34,Witbank,Mpumalanga,Cross-Dock,289148
34,W00035,SupplyGuard Kroonstad Warehouse 35,Kroonstad,Free State,Cross-Dock,262485
35,W00036,SupplyGuard Centurion Warehouse 36,Centurion,Gauteng,Cold Storage,154402
36,W00037,SupplyGuard Rustenburg Warehouse 37,Rustenburg,North West,Fulfilment,493911
37,W00038,SupplyGuard Mthatha Warehouse 38,Mthatha,Eastern Cape,Regional,350774
38,W00039,SupplyGuard Mbombela Warehouse 39,Mbombela,Mpumalanga,Cross-Dock,93380
39,W00040,SupplyGuard Bloemfontein Warehouse 40,Bloemfontein,Free State,Fulfilment,133075
40,W00041,SupplyGuard Welkom Warehouse 41,Welkom,Free State,Cross-Dock,81328
41,W00042,SupplyGuard Gqeberha Warehouse 42,Gqeberha,Eastern Cape,Distribution,123954
42,W00043,SupplyGuard Grahamstown Warehouse 43,Grahamstown,Eastern Cape,Regional,153678
43,W00044,SupplyGuard Mthatha Warehouse 44,Mthatha,Eastern Cape,Fulfilment,230256
44,W00045,SupplyGuard Kroonstad Warehouse 45,Kroonstad,Free State,Cross-Dock,264316
45,W00046,SupplyGuard Centurion Warehouse 46,Centurion,Gauteng,Regional,183455
46,W00047,SupplyGuard Mthatha Warehouse 47,Mthatha,Eastern Cape,Cross-Dock,123031
47,W00048,SupplyGuard Bellville Warehouse 48,Bellville,Western Cape,Distribution,139605
48,W00049,SupplyGuard Soweto Warehouse 49,Soweto,Gauteng,Regional,164041
49,W00050,SupplyGuard Nelspruit Warehouse 50,Nelspruit,Mpumalanga,Cold Storage,31544
50,W00051,SupplyGuard Rustenburg Warehouse 51,Rustenburg,North West,Cold Storage,183752
51,W00052,SupplyGuard Cape Town Warehouse 52,Cape Town,Western Cape,Fulfilment,78119
52,W00053,SupplyGuard Klerksdorp Warehouse 53,Klerksdorp,North West,Fulfilment,341463
